<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
FCC0E5E.3	29.083006	-48.55718	0.9634738	-16.572935	4.3534846
FCC0BTD.4	13.800554	27.286325	0.11591348	-10.902285	-4.1412463
FCD054W.2	62.604313	35.718143	-1.4746586	-2.636466	3.6551015
FCD0LYU.8	15.106724	7.8913493	-0.054720934	-25.401443	2.075672
FCC0DF8.4	3.9793012	-15.017188	-0.26163232	-15.503297	-0.61873764
FCD0LUF.7	29.952675	35.227127	-0.12961099	-9.721724	-1.7822747
FCC0837.8	-19.67437	-10.633884	-0.6321041	-13.454169	-12.528392
FCD0LYE.6	68.15598	28.311537	0.6687459	-0.2514735	0.8043987
FCC0DAN.8	-3.5875235	-4.6685534	0.95273745	-9.726511	1.1216607
FCD0LYU.1	5.623836	8.888856	-0.96410143	6.117383	0.6182027
FCD0HFC.2	-36.615757	-1.4838606	4.2301984	14.274181	-10.712888
FCD0LYE.7	35.315044	-38.106266	0.42027518	-16.687147	1.6220624
FCC0E16.2	1.4322956	-22.157024	1.9898181	-5.3551326	0.36151335
FCD0HFC.7	22.869474	30.781944	0.7408401	-3.8134453	0.80687886
FCC0CGD.1	-53.135777	1.7365897	-2.3831334	-6.6950736	69.117645
FCC0837.2	5.7206182	3.74859	0.17547926	3.8670132	-5.998074
FCD0JLG.2	7.8924274	-17.573406	0.91437715	64.41953	3.8125417
FCD0RG3.4	8.429358	-37.637882	-0.29646155	-30.408428	-1.5613813
FCC0CEY.7	17.748262	-18.792833	1.2713614	-4.2887163	-0.3202286
FCD0JPK.6	-41.613365	-5.0932956	-5.5151076	-2.7729852	-22.271168
FCC0DNT.4	-9.895516	-10.279215	0.010062649	47.290085	3.4717324
FCD054W.3	-6.2214904	19.250854	1.1045911	4.6263847	-5.006026
FCC0CEY.6	-31.80383	-10.034568	-2.918644	-5.653546	-7.046702
FCD0JP6.3	13.024717	-12.440263	-0.1693189	54.48509	0.2531123
FCC0E16.3	4.729992	24.981915	0.21565314	-7.0001416	1.4103277
FCD0JLK.7	-3.520084	-27.639036	0.26026866	-14.2766285	-1.3240746
FCD0JPG.3	25.136278	2.663794	-1.100113	9.080914	1.4391295
FCC0CDM.8	-64.87456	22.00443	-51.698383	-4.7922935	7.7985086
FCD0KPG.2	-66.54666	22.260786	55.17942	-6.4935107	7.962066
FCD0LUF.4	27.82234	-2.1985495	-0.9161428	9.872224	2.393679
FCC0CDM.6	-60.93827	11.5607605	-0.6990822	-1.6254526	-39.766525
