ID,NAME,IRIS ID,ACCESSION,SUBPOPULATION,COUNTRY,Grain weight,grain length,grain width
"FCC0E5E.3","BA TUC RAN::IRGC 73239-1","IRIS 313-11895","IRGC 132391","ind3","Viet Nam",1.8,6.2,2.3
"FCC0BTD.4","DAU NGHA THAI BINH::IRGC 82891-1","IRIS 313-12078","IRGC 127301","indx","Viet Nam",2.3,7.3,2.5
"FCD054W.2","BAT DO::IRGC 7014-1","IRIS 313-8341","IRGC 121599","indx","Viet Nam",1.6,8.8,2.6
"FCD0LYU.8","BONG SEN::IRGC 7011-1","IRIS 313-10554","IRGC 127235","ind3","Viet Nam",2.3,9.5,2.6
"FCC0DF8.4","CA HIM::IRGC 73246-1","IRIS 313-11896","IRGC 132394","ind3","Viet Nam",2.6,7.6,2.6
"FCD0LUF.7","CHAN THANH HOA::IRGC 60647-1","IRIS 313-11594","IRGC 127259","indx","Viet Nam",2.1,7.5,2.6
"FCC0837.8","LUA CHAN HUONG::IRGC 16800-1","IRIS 313-9342","IRGC 126236","ind3","Viet Nam",2.5,9.2,2.6
"FCD0LYE.6","LUA DUC::IRGC 16718-1","IRIS 313-10748","IRGC 127578","indx","Viet Nam",2,8.6,2.6
"FCC0DAN.8","LUA HUONG T 1::IRGC 7082-2","IRIS 313-10555","IRGC 128098","ind3","Viet Nam",2.2,8.9,2.7
"FCD0LYU.1","CHAM TON::IRGC 90600-1","IRIS 313-12210","IRGC 127257","indx","Viet Nam",1.9,7,2.8
"FCD0HFC.2","CHIEM NGAN::IRGC 47488-1","IRIS 313-11383","IRGC 127274","indx","Viet Nam",2.3,9.1,2.8
"FCD0LYE.7","NEP BA BONG TO::IRGC 17005-2","IRIS 313-10755","IRGC 128116","ind3","Viet Nam",2.4,9.6,2.8
"FCC0E16.2","DOC PHUNG D 12::IRGC 10234-1","IRIS 313-9131","IRGC 135749","ind3","Viet Nam",2.5,9.3,2.9
"FCD0HFC.7","SOM NGHE AN::IRGC 60751-1","IRIS 313-8409","IRGC 126007","indx","Viet Nam",2.5,8.2,2.9
"FCC0CGD.1","SRAU SENG::IRGC 30290-1","IRIS 313-8996","IRGC 126169","ind3","Viet Nam",3.3,10.1,2.9
"FCC0837.2","BONG BOI::IRGC 32094-1","IRIS 313-9637","IRGC 125689","ind3","Viet Nam",2,8,3
"FCD0JLG.2","CHIEM TONG NHAT 1::IRGC 47496-1","IRIS 313-11384","IRGC 127275","indx","Viet Nam",2,6.8,3
"FCD0RG3.4","LUA DEN MUA::IRGC 7185-1","IRIS 313-10556","IRGC 135770","ind3","Viet Nam",2.1,8.5,3
"FCC0CEY.7","SOC NAU (BIEN THE)::IRGC 32074-1","IRIS 313-11118","IRGC 135797","ind3","Viet Nam",1.7,8,3
"FCD0JPK.6","TIEN SOM::IRGC 40759-2","IRIS 313-11254","IRGC 128186","ind3","Viet Nam",2.3,7.9,3
"FCC0DNT.4","LUA CHUM::IRGC 16840-1","IRIS 313-10751","IRGC 127577","indx","Viet Nam",2.5,7.8,3.1
"FCD054W.3","VEN THAP::IRGC 56138-1","IRIS 313-9317","IRGC 125933","indx","Viet Nam",2.1,7.8,3.1
"FCC0CEY.6","CADUNG SO BLOC 1::IRGC 30231-1","IRIS 313-11096","IRGC 135743","ind3","Viet Nam",2.3,8.4,3.2
"FCD0JP6.3","KHAU DANH::IRGC 73201-1","IRIS 313-11893","IRGC 127519","indx","Viet Nam",2.5,8.7,3.2
"FCC0E16.3","RTS 16::IRGC 8235-1","IRIS 313-9429","IRGC 126309","indx","Viet Nam",1.8,7,3.2
"FCD0JLK.7","TRANG LUA::IRGC 16781-1","IRIS 313-10750","IRGC 135804","ind3","Viet Nam",2.4,8.8,3.2
"FCD0JPG.3","LOC TRANG MUON::IRGC 73216-1","IRIS 313-11894","IRGC 128368","indx","Viet Nam",2.8,9,3.3
"FCC0CDM.8","NEP NGAU::IRGC 78369-1","IRIS 313-8735","IRGC 126074","japx","Viet Nam",3.1,8,3.3
"FCD0KPG.2","NEP HOA VANG","IRIS 313-8690","IRGC 117537","japx","Viet Nam",2.6,7.9,3.7
"FCD0LUF.4","TAN NONG::IRGC 56126-1","IRIS 313-11521","IRGC 127847","indx","Viet Nam",3,8.4,3.8
"FCC0CDM.6","KHAU TRA BONG::IRGC 78342-1","IRIS 313-8578","IRGC 125992","subtrop","Viet Nam",3.6,9.1,3.9
