<Trait> GrainWeight GrainLength Grainwidth
IRIS-313-11895 1.8 6.2 2.3
IRIS-313-12078 2.3 7.3 2.5
IRIS-313-8341 1.6 8.8 2.6
IRIS-313-10554 2.3 9.5 2.6
IRIS-313-11896 2.6 7.6 2.6
IRIS-313-11594 2.1 7.5 2.6
IRIS-313-9342 2.5 9.2 2.6
IRIS-313-10748 2.0 8.6 2.6
IRIS-313-10555 2.2 8.9 2.7
IRIS-313-12210 1.9 7.0 2.8
IRIS-313-11383 2.3 9.1 2.8
IRIS-313-10755 2.4 9.6 2.8
IRIS-313-9131 2.5 9.3 2.9
IRIS-313-8409 2.5 8.2 2.9
IRIS-313-8996 3.3 10.1 2.9
IRIS-313-9637 2.0 8.0 3.0
IRIS-313-11384 2.0 6.8 3.0
IRIS-313-10556 2.1 8.5 3.0
IRIS-313-11118 1.7 8.0 3.0
IRIS-313-11254 2.3 7.9 3.0
IRIS-313-11507 2.9 10.1 3.0
IRIS-313-10751 2.5 7.8 3.1
IRIS-313-9317 2.1 7.8 3.1
IRIS-313-11096 2.3 8.4 3.2
IRIS-313-11893 2.5 8.7 3.2
IRIS-313-9429 1.8 7.0 3.2
IRIS-313-10750 2.4 8.8 3.2
IRIS-313-11894 2.8 9.0 3.3
IRIS-313-8735 3.1 8.0 3.3
IRIS-313-8690 2.6 7.9 3.7
IRIS-313-11521 3.0 8.4 3.8
IRIS-313-8578 3.6 9.1 3.9
